CMDLINE celery -A app:celery worker --loglevel=DEBUG --concurrency=4 -n worker1@%h
CHLD 223436 30.117188 1673151205.6484
CHLD 223437 30.117188 1673151205.6485
MEM 37.851562 1673151205.7494
CHLD 223434 30.015625 1673151205.7649
CHLD 223435 30.117188 1673151205.7649
CHLD 223436 30.117188 1673151205.7650
CHLD 223437 30.117188 1673151205.7651
MEM 37.851562 1673151205.8657
CHLD 223434 30.015625 1673151205.8724
CHLD 223435 30.117188 1673151205.8725
CHLD 223436 30.117188 1673151205.8725
CHLD 223437 30.117188 1673151205.8725
MEM 37.851562 1673151205.9734
CHLD 223434 30.015625 1673151205.9808
CHLD 223435 30.117188 1673151205.9808
CHLD 223436 30.117188 1673151205.9808
CHLD 223437 30.117188 1673151205.9809
MEM 37.851562 1673151206.0818
CHLD 223434 30.015625 1673151206.0890
CHLD 223435 30.117188 1673151206.0890
CHLD 223436 30.117188 1673151206.0891
CHLD 223437 30.117188 1673151206.0891
MEM 37.851562 1673151206.1900
CHLD 223434 30.015625 1673151206.1972
CHLD 223435 30.117188 1673151206.1972
CHLD 223436 30.117188 1673151206.1973
CHLD 223437 30.117188 1673151206.1973
MEM 37.851562 1673151206.2979
CHLD 223434 30.015625 1673151206.3049
CHLD 223435 30.117188 1673151206.3049
CHLD 223436 30.117188 1673151206.3049
CHLD 223437 30.117188 1673151206.3049
MEM 37.851562 1673151206.4058
CHLD 223434 30.015625 1673151206.4161
CHLD 223435 30.117188 1673151206.4161
CHLD 223436 30.117188 1673151206.4161
CHLD 223437 30.117188 1673151206.4161
MEM 37.851562 1673151206.5173
CHLD 223434 30.015625 1673151206.5239
CHLD 223435 30.117188 1673151206.5239
CHLD 223436 30.117188 1673151206.5239
CHLD 223437 30.117188 1673151206.5239
MEM 37.851562 1673151206.6246
CHLD 223434 30.015625 1673151206.6320
CHLD 223435 30.117188 1673151206.6320
CHLD 223436 30.117188 1673151206.6320
CHLD 223437 30.117188 1673151206.6320
MEM 37.851562 1673151206.7329
CHLD 223434 30.015625 1673151206.7402
CHLD 223435 30.117188 1673151206.7403
CHLD 223436 30.117188 1673151206.7403
CHLD 223437 30.117188 1673151206.7403
MEM 37.851562 1673151206.8409
CHLD 223434 30.015625 1673151206.8482
CHLD 223435 30.117188 1673151206.8482
CHLD 223436 30.117188 1673151206.8482
CHLD 223437 30.117188 1673151206.8482
MEM 37.851562 1673151206.9491
CHLD 223434 30.015625 1673151206.9560
CHLD 223435 30.117188 1673151206.9560
CHLD 223436 30.117188 1673151206.9560
CHLD 223437 30.117188 1673151206.9561
MEM 37.851562 1673151207.0569
CHLD 223434 30.015625 1673151207.0656
CHLD 223435 30.117188 1673151207.0657
CHLD 223436 30.117188 1673151207.0657
CHLD 223437 30.117188 1673151207.0658
MEM 37.851562 1673151207.1663
CHLD 223434 30.015625 1673151207.1813
CHLD 223435 30.117188 1673151207.1814
CHLD 223436 30.117188 1673151207.1814
CHLD 223437 30.117188 1673151207.1815
MEM 37.851562 1673151207.2821
CHLD 223434 30.015625 1673151207.2971
CHLD 223435 30.117188 1673151207.2971
CHLD 223436 30.117188 1673151207.2972
CHLD 223437 30.117188 1673151207.2973
MEM 37.851562 1673151207.3981
CHLD 223434 30.015625 1673151207.4131
CHLD 223435 30.117188 1673151207.4132
CHLD 223436 30.117188 1673151207.4133
CHLD 223437 30.117188 1673151207.4133
MEM 37.851562 1673151207.5138
CHLD 223434 30.015625 1673151207.5301
CHLD 223435 30.117188 1673151207.5302
CHLD 223436 30.117188 1673151207.5303
CHLD 223437 30.117188 1673151207.5304
MEM 37.851562 1673151207.6310
CHLD 223434 30.015625 1673151207.6444
CHLD 223435 30.117188 1673151207.6445
CHLD 223436 30.117188 1673151207.6445
CHLD 223437 30.117188 1673151207.6446
MEM 37.851562 1673151207.7452
CHLD 223434 30.015625 1673151207.7611
CHLD 223435 30.117188 1673151207.7611
CHLD 223436 30.117188 1673151207.7612
CHLD 223437 30.117188 1673151207.7612
MEM 37.851562 1673151207.8622
CHLD 223434 30.015625 1673151207.8687
CHLD 223435 30.117188 1673151207.8687
CHLD 223436 30.117188 1673151207.8687
CHLD 223437 30.117188 1673151207.8687
MEM 37.851562 1673151207.9694
CHLD 223434 30.015625 1673151207.9761
CHLD 223435 30.117188 1673151207.9761
CHLD 223436 30.117188 1673151207.9761
CHLD 223437 30.117188 1673151207.9762
MEM 37.851562 1673151208.0768
CHLD 223434 30.015625 1673151208.0836
CHLD 223435 30.117188 1673151208.0836
CHLD 223436 30.117188 1673151208.0836
CHLD 223437 30.117188 1673151208.0837
MEM 37.851562 1673151208.1848
CHLD 223434 30.015625 1673151208.1919
CHLD 223435 30.117188 1673151208.1919
CHLD 223436 30.117188 1673151208.1919
CHLD 223437 30.117188 1673151208.1920
MEM 37.851562 1673151208.2926
CHLD 223434 30.015625 1673151208.3076
CHLD 223435 30.117188 1673151208.3077
CHLD 223436 30.117188 1673151208.3078
CHLD 223437 30.117188 1673151208.3078
MEM 37.851562 1673151208.4084
CHLD 223434 30.015625 1673151208.4233
CHLD 223435 30.117188 1673151208.4234
CHLD 223436 30.117188 1673151208.4234
CHLD 223437 30.117188 1673151208.4235
MEM 37.851562 1673151208.5244
CHLD 223434 30.015625 1673151208.5400
CHLD 223435 30.117188 1673151208.5401
CHLD 223436 30.117188 1673151208.5401
CHLD 223437 30.117188 1673151208.5402
MEM 37.851562 1673151208.6409
CHLD 223434 30.015625 1673151208.6564
CHLD 223435 30.117188 1673151208.6565
CHLD 223436 30.117188 1673151208.6565
CHLD 223437 30.117188 1673151208.6566
MEM 37.851562 1673151208.7572
CHLD 223434 30.015625 1673151208.7727
CHLD 223435 30.117188 1673151208.7728
CHLD 223436 30.117188 1673151208.7729
CHLD 223437 30.117188 1673151208.7729
MEM 37.851562 1673151208.8735
CHLD 223434 30.015625 1673151208.8890
CHLD 223435 30.117188 1673151208.8891
CHLD 223436 30.117188 1673151208.8891
CHLD 223437 30.117188 1673151208.8892
MEM 37.851562 1673151208.9898
CHLD 223434 30.015625 1673151209.0048
CHLD 223435 30.117188 1673151209.0049
CHLD 223436 30.117188 1673151209.0049
CHLD 223437 30.117188 1673151209.0050
MEM 37.851562 1673151209.1056
CHLD 223434 30.015625 1673151209.1196
CHLD 223435 30.117188 1673151209.1196
CHLD 223436 30.117188 1673151209.1197
CHLD 223437 30.117188 1673151209.1197
MEM 37.851562 1673151209.2204
CHLD 223434 30.015625 1673151209.2272
CHLD 223435 30.117188 1673151209.2273
CHLD 223436 30.117188 1673151209.2273
CHLD 223437 30.117188 1673151209.2273
MEM 37.851562 1673151209.3278
CHLD 223434 30.015625 1673151209.3342
CHLD 223435 30.117188 1673151209.3342
CHLD 223436 30.117188 1673151209.3343
CHLD 223437 30.117188 1673151209.3343
MEM 37.851562 1673151209.4349
CHLD 223434 30.015625 1673151209.4423
CHLD 223435 30.117188 1673151209.4424
CHLD 223436 30.117188 1673151209.4424
CHLD 223437 30.117188 1673151209.4424
MEM 37.851562 1673151209.5430
CHLD 223434 30.015625 1673151209.5498
CHLD 223435 30.117188 1673151209.5499
CHLD 223436 30.117188 1673151209.5499
CHLD 223437 30.117188 1673151209.5499
MEM 37.851562 1673151209.6505
CHLD 223434 30.015625 1673151209.6576
CHLD 223435 30.117188 1673151209.6576
CHLD 223436 30.117188 1673151209.6577
CHLD 223437 30.117188 1673151209.6577
MEM 37.851562 1673151209.7582
CHLD 223434 30.015625 1673151209.7732
CHLD 223435 30.117188 1673151209.7733
CHLD 223436 30.117188 1673151209.7734
CHLD 223437 30.117188 1673151209.7734
MEM 37.851562 1673151209.8742
CHLD 223434 30.015625 1673151209.8894
CHLD 223435 30.117188 1673151209.8895
CHLD 223436 30.117188 1673151209.8895
CHLD 223437 30.117188 1673151209.8896
MEM 37.851562 1673151209.9905
CHLD 223434 30.015625 1673151210.0055
CHLD 223435 30.117188 1673151210.0056
CHLD 223436 30.117188 1673151210.0057
CHLD 223437 30.117188 1673151210.0057
MEM 37.851562 1673151210.1063
CHLD 223434 30.015625 1673151210.1208
CHLD 223435 30.117188 1673151210.1209
CHLD 223436 30.117188 1673151210.1210
CHLD 223437 30.117188 1673151210.1210
MEM 37.851562 1673151210.2217
CHLD 223434 30.015625 1673151210.2357
CHLD 223435 30.117188 1673151210.2358
CHLD 223436 30.117188 1673151210.2358
CHLD 223437 30.117188 1673151210.2359
MEM 37.851562 1673151210.3366
CHLD 223434 30.015625 1673151210.3518
CHLD 223435 30.117188 1673151210.3518
CHLD 223436 30.117188 1673151210.3519
CHLD 223437 30.117188 1673151210.3519
MEM 37.851562 1673151210.4529
CHLD 223434 30.015625 1673151210.4684
CHLD 223435 30.117188 1673151210.4684
CHLD 223436 30.117188 1673151210.4685
CHLD 223437 30.117188 1673151210.4686
MEM 37.851562 1673151210.5695
