CMDLINE celery -A app:celery worker --loglevel=DEBUG --concurrency=4 -n worker1@%h
CHLD 224405 30.156250 1673151446.0140
MEM 160.367188 1673151446.1273
CHLD 224402 30.140625 1673151446.1400
CHLD 224403 31.992188 1673151446.1400
CHLD 224404 30.156250 1673151446.1401
CHLD 224405 30.156250 1673151446.1401
MEM 160.367188 1673151446.2538
CHLD 224402 30.140625 1673151446.2664
CHLD 224403 31.992188 1673151446.2665
CHLD 224404 30.156250 1673151446.2665
CHLD 224405 30.156250 1673151446.2666
MEM 160.367188 1673151446.3815
CHLD 224402 30.140625 1673151446.3947
CHLD 224403 31.992188 1673151446.3947
CHLD 224404 30.156250 1673151446.3948
CHLD 224405 30.156250 1673151446.3948
MEM 160.367188 1673151446.5088
CHLD 224402 30.140625 1673151446.5221
CHLD 224403 31.992188 1673151446.5222
CHLD 224404 30.156250 1673151446.5222
CHLD 224405 30.156250 1673151446.5223
MEM 160.367188 1673151446.6364
CHLD 224402 30.140625 1673151446.6487
CHLD 224403 31.992188 1673151446.6487
CHLD 224404 30.156250 1673151446.6487
CHLD 224405 30.156250 1673151446.6488
MEM 160.367188 1673151446.7630
CHLD 224402 30.140625 1673151446.7760
CHLD 224403 31.992188 1673151446.7761
CHLD 224404 30.156250 1673151446.7761
CHLD 224405 30.156250 1673151446.7762
MEM 160.367188 1673151446.8901
CHLD 224402 30.140625 1673151446.9030
CHLD 224403 31.992188 1673151446.9031
CHLD 224404 30.156250 1673151446.9031
CHLD 224405 30.156250 1673151446.9032
MEM 160.367188 1673151447.0177
CHLD 224402 30.140625 1673151447.0302
CHLD 224403 31.992188 1673151447.0302
CHLD 224404 30.156250 1673151447.0303
CHLD 224405 30.156250 1673151447.0303
MEM 160.367188 1673151447.1449
CHLD 224402 30.140625 1673151447.1579
CHLD 224403 31.992188 1673151447.1579
CHLD 224404 30.156250 1673151447.1580
CHLD 224405 30.156250 1673151447.1580
MEM 160.367188 1673151447.2724
CHLD 224402 30.140625 1673151447.2846
CHLD 224403 31.992188 1673151447.2847
CHLD 224404 30.156250 1673151447.2847
CHLD 224405 30.156250 1673151447.2848
MEM 160.367188 1673151447.3986
CHLD 224402 30.140625 1673151447.4110
CHLD 224403 31.992188 1673151447.4111
CHLD 224404 30.156250 1673151447.4111
CHLD 224405 30.156250 1673151447.4111
MEM 160.367188 1673151447.5254
CHLD 224402 30.140625 1673151447.5380
CHLD 224403 31.992188 1673151447.5381
CHLD 224404 30.156250 1673151447.5381
CHLD 224405 30.156250 1673151447.5382
MEM 160.367188 1673151447.6521
CHLD 224402 30.140625 1673151447.6648
CHLD 224403 31.992188 1673151447.6649
CHLD 224404 30.156250 1673151447.6649
CHLD 224405 30.156250 1673151447.6650
MEM 160.367188 1673151447.7791
CHLD 224402 30.140625 1673151447.7917
CHLD 224403 31.992188 1673151447.7917
CHLD 224404 30.156250 1673151447.7918
CHLD 224405 30.156250 1673151447.7918
MEM 160.367188 1673151447.9061
CHLD 224402 30.140625 1673151447.9182
CHLD 224403 31.992188 1673151447.9183
CHLD 224404 30.156250 1673151447.9183
CHLD 224405 30.156250 1673151447.9184
MEM 160.367188 1673151448.0326
CHLD 224402 30.140625 1673151448.0454
CHLD 224403 31.992188 1673151448.0455
CHLD 224404 30.156250 1673151448.0456
CHLD 224405 30.156250 1673151448.0456
MEM 160.367188 1673151448.1596
CHLD 224402 30.140625 1673151448.1719
CHLD 224403 31.992188 1673151448.1720
CHLD 224404 30.156250 1673151448.1720
CHLD 224405 30.156250 1673151448.1721
MEM 160.367188 1673151448.2866
CHLD 224402 30.140625 1673151448.2989
CHLD 224403 31.992188 1673151448.2989
CHLD 224404 30.156250 1673151448.2989
CHLD 224405 30.156250 1673151448.2990
MEM 160.367188 1673151448.4133
CHLD 224402 30.140625 1673151448.4257
CHLD 224403 31.992188 1673151448.4257
CHLD 224404 30.156250 1673151448.4258
CHLD 224405 30.156250 1673151448.4258
MEM 160.367188 1673151448.5401
CHLD 224402 30.140625 1673151448.5524
CHLD 224403 31.992188 1673151448.5524
CHLD 224404 30.156250 1673151448.5525
CHLD 224405 30.156250 1673151448.5525
